test,RR1,RR4,RR8,FCFS,FCFS.MULT,FCFS.MULT.DIST,SPN,SPN.MULT,
1,353,351,345,334,154,162,329,150,
2,328,326,320,308,149,161,296,144,
3,362,361,363,355,173,178,347,170,
4,336,335,334,336,163,165,328,159,
5,339,338,336,330,158,167,323,155,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
test,RR1,RR4,RR8,FCFS,SPN,test,FCFS.MULT,FCFS.MULT.DIST,SPN.MULT
1,353,351,345,334,329,1,154,162,150
2,328,326,320,308,296,2,149,161,144
3,362,361,363,355,347,3,173,178,170
4,336,335,334,336,328,4,163,165,159
5,339,338,336,330,323,5,158,167,155
